,reviewid,artist
0,22703,massive attack
1,22721,krallice
2,22659,uranium club
3,22661,kleenex
4,22661,liliput
5,22725,taso
6,22722,various artists
7,22704,little simz
8,22694,yotam avni
9,22714,brian eno
10,22724,the lox
11,22715,harry bertoia
12,22745,run the jewels
13,22700,steven warwick
14,22720,yasiin bey
15,22699,smoke dza
16,22699,pete rock
17,22665,various artists
18,22666,senyawa
19,22719,chance the rapper
20,22719,jeremih
21,22667,jamire williams
22,22691,the-dream
23,22702,worm ouroboros
24,22718,nine inch nails
25,22706,elder ones
26,22695,the microphones
27,22713,ben frost
28,22705,kacey musgraves
29,22532,jay som
30,22701,rashad becker
31,22707,ray charles
32,22708,ab-soul
33,22559,pantera
34,22692,gucci mane
35,22677,mica levi
36,22469,kid cudi
37,22711,sammus
38,22678,hodgy
39,22664,jeff parker
40,22685,a-trak
41,22690,jess williamson
42,22689,kevin abstract
43,22697,adr
44,22681,deadmau5
45,22698,jessy lanza
46,22684,peter broderick
47,22693,qasim naqvi
48,22686,post malone
49,22643,bob dylan
50,22640,ricardo villalobos
51,22640,umho
52,22688,peder mannerfelt
53,22696,j. cole
54,22663,pink floyd
55,22687,flume
56,22662,gaye su akyol
57,22317,jeff buckley
58,22673,various artists
59,22655,saba
60,22593,various artists
61,22627,simian mobile disco
62,22555,gas
63,22682,kodie shane
64,22679,the orchestra of syrian musicians
65,22657,blessed initiative
66,22654,neil young
67,22631,soundgarden
68,22683,nick hook
69,22635,kjartan sveinsson
70,22653,the rolling stones
71,22672,gucci mane
72,22672,lil uzi vert
73,22536,young male
74,22676,alex izenberg
75,22671,childish gambino
76,22675,fetty wap
77,22680,miranda lambert
78,22641,denitia and sene
79,22645,john legend
80,22393,yoko ono
81,22393,john lennon
82,22660,coldcut
83,22553,joan as police woman
84,22553,benjamin lazar davis
85,22626,brand new
86,22639,sun ra
87,22658,dungen
88,22638,mica levi
89,22638,oliver coates
90,22656,jay daniel
91,22669,r.e.m.
92,22634,bruno mars
93,22632,keita sano
94,22652,tredici bacci
95,22674,burial
96,22670,yg
97,22646,you blew it!
98,22535,suzanne kraft
99,22668,the weeknd
100,22650,various artists
101,22651,monster rally
102,22596,steve reich
103,22596,terry riley
104,22644,justice
105,22649,demdike stare
106,22583,bully fae
107,22595,rainbow arabia
108,22467,kate bush
109,22613,e-40
110,22620,meredith monk
111,22633,pavo pavo
112,22597,via app
113,22561,ice cube
114,22648,dawn richard
115,22531,oneida
116,22531,rhys chatham
117,22533,sarah davachi
118,22637,vicky chow
119,22647,gucci mane
120,22647,future
121,22614,gillian welch
122,22622,jeff rosenstock
123,22636,kristin hersh
124,22629,metallica
125,22534,porter ricks
126,22565,mike watt
127,22395,daniel bachman
128,22592,autechre
129,22598,body/head
130,22628,his name is alive
131,22624,radian
132,22619,flasher
133,22642,leonard cohen
134,22603,tinashe
135,22594,various artists
136,22630,papa m
137,22552,yaroze dream suite
138,22625,thee oh sees
139,22618,lorenzo senni
140,22602,marching church
141,22621,devonwho
142,22607,a tribe called quest
143,22611,sad13
144,22616,j.g. biberkopf
145,22617,animals as leaders
146,22401,washington phillips
147,22394,dedekind cut
148,22457,michael mayer
149,22501,mantra percussion
150,22612,french montana
151,22525,hart valley drifters
152,22610,emeli sand
153,22518,ken thomson
154,22527,philip glass
155,22623,bibi bourelly
156,22563,loscil
157,22505,peter stampfel
158,22465,okkyung lee
159,22465,christian marclay
160,22506,minutemen
161,22581,various artists
162,22519,the men
163,22608,oren ambarchi
164,22573,jacuzzi boys
165,22609,hudson mohawke
166,22605,kool a.d.
167,22606,rachel's
168,22502,helmet
169,22582,alicia keys
170,22604,topaz jones
171,22585,gaika
172,22560,uniform
173,22589,the chainsmokers
174,22584,tyvek
175,22392,tim buckley
176,22347,mary halvorson
177,22571,sleigh bells
178,22586,jeezy
179,22587,shirley collins
180,22550,kadhja bonet
181,22464,soft hair
182,22570,jim james
183,22599,a$ap mob
184,22558,lou barlow
185,22415,mannequin pussy
186,22600,abba
187,22566,fugees
188,22520,sun ra
189,22520,merzbow
190,22574,oddcouple
191,22452,the dean ween group
192,22588,common
193,22455,ricky eat acid
194,22480,rich the kid
195,22543,carla dal forno
196,22579,pussy riot
197,22576,huerco s.
198,22569,otis redding
199,22556,the olympians
200,22575,meek mill
201,22554,miles davis quintet
202,22528,kassem mosse
203,22540,the dillinger escape plan
204,22374,public image ltd
205,22562,american wrestlers
206,22578,tove lo
207,22414,steve hauschildt
208,22498,lambchop
209,22413,roman flgel
210,22572,dj rude one
211,22462,syrinx
212,22557,khemmis
213,22485,bob dylan
214,22547,joe budden
215,22537,gord downie
216,22441,roy montgomery
217,22517,patrick cowley
218,22517,candida royalle
219,22523,d.r.a.m.
220,22551,the radio dept.
221,22568,luis
222,22483,donny mccaslin
223,22567,various artists
