,reviewid,genre
0,22703,electronic
1,22721,metal
2,22659,rock
3,22661,rock
4,22725,electronic
5,22722,
6,22704,rap
7,22694,electronic
8,22714,experimental
9,22724,rap
10,22715,experimental
11,22745,rap
12,22700,electronic
13,22720,rap
14,22699,rap
15,22665,
16,22666,experimental
17,22719,rap
18,22719,pop/r&b
19,22667,experimental
20,22691,rap
21,22691,pop/r&b
22,22702,metal
23,22718,rock
24,22706,experimental
25,22695,rock
26,22695,experimental
27,22713,electronic
28,22705,folk/country
29,22532,rock
30,22701,electronic
31,22707,jazz
32,22708,rap
33,22559,metal
34,22692,rap
35,22677,experimental
36,22469,rock
37,22469,rap
38,22711,rap
39,22678,rap
40,22664,jazz
41,22685,rap
42,22685,electronic
43,22690,
44,22689,rap
45,22697,
46,22681,electronic
47,22698,pop/r&b
48,22684,experimental
49,22693,experimental
50,22686,rap
51,22643,rock
52,22640,electronic
53,22688,electronic
54,22696,rap
55,22663,rock
56,22687,electronic
57,22662,global
58,22317,rock
59,22673,
60,22655,rap
61,22593,
62,22627,rock
63,22627,electronic
64,22555,electronic
65,22682,rap
66,22679,global
67,22657,electronic
68,22654,rock
69,22631,rock
70,22683,electronic
71,22635,experimental
72,22653,rock
73,22672,rap
74,22536,electronic
75,22676,pop/r&b
76,22671,rap
77,22675,rap
78,22680,folk/country
79,22641,pop/r&b
80,22645,pop/r&b
81,22393,rock
82,22393,experimental
83,22660,jazz
84,22660,electronic
85,22553,rock
86,22553,pop/r&b
87,22626,rock
88,22639,jazz
89,22658,rock
90,22638,experimental
91,22656,electronic
92,22669,rock
93,22634,pop/r&b
94,22632,electronic
95,22652,jazz
96,22674,experimental
97,22674,electronic
98,22670,rap
99,22646,rock
100,22535,electronic
101,22668,pop/r&b
102,22650,
103,22651,electronic
104,22596,experimental
105,22644,electronic
106,22649,electronic
107,22583,electronic
108,22595,pop/r&b
109,22467,pop/r&b
110,22613,rap
111,22620,experimental
112,22633,pop/r&b
113,22597,electronic
114,22561,rap
115,22648,pop/r&b
116,22531,rock
117,22531,experimental
118,22533,electronic
119,22637,experimental
120,22647,rap
121,22614,rock
122,22622,rock
123,22636,rock
124,22629,metal
125,22534,electronic
126,22565,rock
127,22395,folk/country
128,22592,electronic
129,22598,rock
130,22628,rock
131,22624,rock
132,22619,rock
133,22619,experimental
134,22642,rock
135,22603,pop/r&b
136,22594,
137,22630,rock
138,22552,electronic
139,22625,rock
140,22618,electronic
141,22602,rock
142,22621,rap
143,22607,rap
144,22611,pop/r&b
145,22616,electronic
146,22617,metal
147,22401,folk/country
148,22394,experimental
149,22457,electronic
150,22501,experimental
151,22612,rap
152,22525,folk/country
153,22610,pop/r&b
154,22518,experimental
155,22527,experimental
156,22623,pop/r&b
157,22563,rock
158,22563,global
159,22563,electronic
160,22505,folk/country
161,22465,rock
162,22465,jazz
163,22465,experimental
164,22465,electronic
165,22506,rock
166,22581,
167,22519,rock
168,22608,experimental
169,22573,rock
170,22609,electronic
171,22605,rap
172,22606,rock
173,22502,metal
174,22582,pop/r&b
175,22604,rap
176,22585,rap
177,22560,rock
178,22589,electronic
179,22584,
180,22392,rock
181,22347,jazz
182,22571,pop/r&b
183,22586,rap
184,22587,folk/country
185,22550,pop/r&b
186,22464,pop/r&b
187,22570,rock
188,22599,rap
189,22558,rock
190,22415,rock
191,22600,pop/r&b
192,22566,rap
193,22520,jazz
194,22520,experimental
195,22574,rap
196,22452,rock
197,22588,rap
198,22455,electronic
199,22480,rap
200,22543,electronic
201,22579,rock
202,22576,experimental
203,22569,pop/r&b
204,22556,pop/r&b
205,22575,rap
206,22554,jazz
207,22528,electronic
208,22540,metal
209,22374,rock
210,22562,rock
211,22578,pop/r&b
212,22414,electronic
213,22498,rock
214,22413,electronic
215,22572,rap
216,22462,electronic
217,22557,metal
218,22485,rock
219,22547,rap
220,22537,rock
221,22441,rock
222,22517,electronic
223,22523,rap
224,22551,pop/r&b
225,22568,electronic
226,22483,jazz
227,22567,
228,22549,rock
229,22545,pop/r&b
230,22546,electronic
231,22526,rock
232,22529,rock
233,22500,electronic
234,22548,electronic
235,22524,pop/r&b
236,22324,rock
237,22442,experimental
238,22442,electronic
239,22516,jazz
240,22514,rock
241,22542,
242,22454,rock
243,22436,
244,22377,rock
245,22291,rock
246,22378,rock
247,22541,
248,22503,metal
249,22479,rock
250,22522,rap
251,22515,electronic
252,22530,electronic
253,22507,rap
254,22521,rock
255,22512,electronic
256,22508,rock
257,22509,folk/country
258,22463,rock
259,22513,rap
260,22412,electronic
261,22504,
262,22389,pop/r&b
263,22499,rock
264,22495,metal
265,22461,global
266,22494,pop/r&b
267,22440,folk/country
268,22496,rock
269,22497,jazz
270,22458,rock
271,22308,rock
272,22390,electronic
273,22511,rap
274,22493,electronic
275,22339,rock
276,22490,electronic
277,22404,rock
278,22372,global
279,22411,electronic
280,22348,rock
281,22391,rap
282,22410,electronic
283,22492,rock
284,22488,rock
285,22477,rock
286,22489,pop/r&b
287,22438,electronic
288,22323,folk/country
289,22307,jazz
290,22307,pop/r&b
291,22486,rap
292,22478,global
293,22478,rap
294,22474,rock
295,22450,experimental
296,22449,folk/country
297,22460,metal
298,22439,metal
299,22253,pop/r&b
300,22318,rock
301,22445,electronic
302,22484,rap
303,22466,metal
304,22429,pop/r&b
305,22451,rock
306,22471,pop/r&b
307,22470,electronic
308,22437,rock
309,22475,pop/r&b
310,22476,metal
311,22472,experimental
312,22482,pop/r&b
313,22376,rock
314,22459,experimental
315,22375,electronic
316,22314,experimental
317,22362,folk/country
318,22435,global
319,22373,metal
320,22447,pop/r&b
321,22468,rap
322,22446,rap
323,22299,jazz
324,22434,experimental
325,22292,rock
326,22368,rock
327,22430,electronic
328,22346,experimental
329,22388,electronic
330,22420,rock
331,22298,electronic
332,22304,electronic
333,22425,experimental
334,22444,electronic
335,22426,rock
336,22424,experimental
337,22315,rock
338,22431,rap
339,22443,rap
340,22432,rock
341,22427,rock
342,22423,folk/country
343,22387,electronic
344,22146,rap
345,22386,folk/country
346,22416,pop/r&b
347,22416,electronic
348,22134,rock
349,22422,rock
350,22370,rock
351,22400,pop/r&b
352,22045,pop/r&b
353,22419,rock
354,22428,rap
355,22406,electronic
356,22369,electronic
357,22313,rock
358,22313,pop/r&b
359,22405,rock
360,22302,experimental
361,22399,rap
362,22409,rock
363,22421,rap
364,22385,rock
365,22384,rap
366,22418,pop/r&b
367,22326,metal
368,22366,rap
369,22367,rock
370,22402,rock
371,22382,
372,22383,electronic
373,22408,electronic
374,22407,rock
375,22312,jazz
376,22381,electronic
377,22357,metal
378,22061,experimental
379,22293,rap
380,22310,experimental
381,22398,rock
382,22398,experimental
383,22403,rap
384,22397,rock
