,reviewid,label
0,22703,virgin
1,22721,hathenter
2,22659,static shock
3,22659,fashionable idiots
4,22661,kill rock stars
5,22661,mississippi
6,22725,teklife
7,22722,rca
8,22704,age 101
9,22694,stroboscopic artefacts
10,22714,warp
11,22724,roc nation
12,22715,important
13,22745,self-released
14,22700,pan
15,22720,awge
16,22720,a country called earth
17,22699,babygrande
18,22665,soul jazz
19,22666,cejero
20,22719,self-released
21,22667,leaving
22,22691,radio killa
23,22702,profound lore
24,22718,self-released
25,22706,northern spy
26,22695,p.w. elverum & sun
27,22713,bedroom community
28,22705,mercury
29,22532,polyvinyl
30,22701,pan
31,22707,challenge
32,22708,top dawg entertainment
33,22559,rhino
34,22692,1017 brick squad
35,22677,milan
36,22469,republic
37,22469,wicked awesome
38,22711,don giovanni
39,22678,columbia
40,22664,eremite
41,22685,fool's gold
42,22690,brutal honest
43,22689,empire
44,22689,brockhampton
45,22697,pan
46,22681,mau5trap
47,22698,hyperdub
48,22684,erased tapes
49,22693,new amsterdam
50,22686,republic
51,22643,columbia legacy
52,22640,drumma
53,22688,numbers
54,22696,roc nation
55,22696,dreamville
56,22663,legacy
57,22687,mom & pop
58,22662,glitterbeat
59,22317,columbia
60,22673,atlantic
61,22655,self-released
62,22593,numero group
63,22627,delicacies
64,22555,kompakt
65,22682,epic
66,22679,transgressive
67,22657,subtext
68,22654,reprise
69,22631,ume
70,22631,a&m
71,22683,fool's gold
72,22635,bel-air glamour records
73,22653,polydor
74,22672,1017 brick squad
75,22536,white material
76,22676,domino
77,22671,glassnote
78,22675,self-released
79,22680,vanner
80,22680,sony
81,22641,input
82,22645,columbia
83,22393,secretly canadian
84,22393,chimera
85,22660,ahead of our time
86,22553,reveal
87,22626,interscope
88,22626,tiny evil
89,22639,strut
90,22658,mexican summer
91,22638,slipdisc
92,22656,technicolour
93,22669,concord bicycle
94,22634,atlantic
95,22632,rett i fletta
96,22652,nna tapes
97,22674,hyperdub
98,22670,def jam
99,22646,triple crown
100,22535,melody as truth
101,22668,republic
102,22650,pc music
103,22651,gold robot
104,22596,forced exposure
105,22644,because music
106,22644,ed banger
107,22649,modern love
108,22583,vague terrain
109,22595,time no place
110,22467,concord
111,22467,fish people
112,22613,heavy on the grind
113,22620,ecm new series
114,22633,bella union
115,22597,break world
116,22561,priority
117,22648,local action
118,22648,our dawn
119,22531,northern spy
120,22533,important
121,22637,new amsterdam
122,22647,self-released
123,22614,acony
124,22622,sideonedummy
125,22636,omnibus
