,reviewid,year
0,22703,1998.0
1,22721,2016.0
2,22659,2016.0
3,22661,2016.0
4,22725,2016.0
5,22722,2016.0
6,22704,2016.0
7,22694,2016.0
8,22714,2017.0
9,22724,2016.0
10,22715,2016.0
11,22745,2016.0
12,22700,2016.0
13,22720,2016.0
14,22699,2016.0
15,22665,2016.0
16,22666,2016.0
17,22719,2016.0
18,22667,2016.0
19,22691,2016.0
20,22702,2016.0
21,22718,2016.0
22,22706,2016.0
23,22695,2016.0
24,22713,2016.0
25,22705,2016.0
26,22532,2016.0
27,22701,2016.0
28,22707,2016.0
29,22708,2016.0
30,22559,1996.0
31,22559,2016.0
32,22692,2016.0
33,22677,2016.0
34,22469,2016.0
35,22711,2016.0
36,22678,2016.0
37,22664,2016.0
38,22685,2016.0
39,22690,2016.0
40,22689,2016.0
41,22697,2016.0
42,22681,2016.0
43,22698,2016.0
44,22684,2016.0
45,22693,2016.0
46,22686,2016.0
47,22643,1966.0
48,22643,2016.0
49,22640,2016.0
50,22688,2016.0
51,22696,2016.0
52,22663,2016.0
53,22687,2016.0
54,22662,2016.0
55,22317,1998.0
56,22673,2016.0
57,22655,2016.0
58,22593,2016.0
59,22627,2016.0
60,22555,2016.0
61,22682,2016.0
62,22679,2016.0
63,22657,2016.0
64,22654,2016.0
65,22631,1991.0
66,22631,2016.0
67,22683,2016.0
68,22635,2016.0
69,22653,2016.0
70,22672,2016.0
71,22536,2016.0
72,22676,2016.0
73,22671,2016.0
74,22675,2016.0
75,22680,2016.0
76,22641,2016.0
77,22645,2016.0
78,22393,1968.0
79,22393,2016.0
80,22660,2016.0
81,22553,2016.0
82,22626,2006.0
83,22639,2016.0
84,22658,2016.0
85,22638,2016.0
86,22656,2016.0
87,22669,1991.0
88,22669,2016.0
89,22634,2016.0
90,22632,2016.0
91,22652,2016.0
92,22674,2016.0
93,22670,2016.0
94,22646,2016.0
95,22535,2016.0
96,22668,2016.0
97,22650,2016.0
98,22651,2016.0
99,22596,2016.0
100,22644,2016.0
101,22649,2016.0
102,22583,2016.0
103,22595,2016.0
104,22467,2016.0
105,22613,2016.0
106,22620,2016.0
107,22633,2016.0
108,22597,2016.0
109,22561,1991.0
110,22648,2016.0
111,22531,2016.0
112,22533,2016.0
113,22637,2016.0
114,22647,2016.0
115,22614,2016.0
